Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"FL640_SQL02CNT_IN","DB1009,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PC400MAN","DB0110,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation manuel out",
"MX305_STEAMTIMEAV190","DB0081,D0704",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxAV190 has been open",
"MX305_STEAMTIMECV900","DB0081,D0700",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxCV900 has been open",
"825TT620AI","DB0046,D0056",DWord,1,R/W,1000,,,,,,,,,,"Sterilisering af tappelinie",
"MX305_STEAMTIMEPAST","DB0081,D0036",DWord,1,R/W,1000,,,,,,,,,,"Tid damp tilsæt unde pasteursering",
"825PT611AI","DB0046,D0224",DWord,1,R/W,1000,,,,,,,,,,"Press before filter",
"825PT610AI","DB0046,D0220",DWord,1,R/W,1000,,,,,,,,,,"Press after filter",
"725TT200AI","DB0046,D0204",DWord,1,R/W,1000,,,,,,,,,,"CIP retur",
"MX305_RP_TIMEPASTHOLD","DB0081,D0064",DWord,1,R/W,1000,,,,,,,,,,"Time in pasteurizing hold temperature",
"725TT100AI","DB0046,D0200",DWord,1,R/W,1000,,,,,,,,,,"CIP frem",
"MX305_RP_TIMEPAST","DB0081,D0060",DWord,1,R/W,1000,,,,,,,,,,"Time in pasteurizing",
"725TC100TI","DB0098,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 reset",
"725TC100TD","DB0098,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 deriv",
"725TC100SP","DB0098,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 setpo",
"725TC100PV","DB0098,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 proce",
"725TC100OMIN","DB0098,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 outpu",
"725TC100OMAX","DB0098,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 outpu",
"725TC100MAN","DB0098,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 manue",
"725TC100GAIN","DB0098,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 gain",
"725TC100DB","DB0098,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 dead",
"725TC100CV","DB0098,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temp. CIP unit 725 contr",
"725LT100AI","DB0046,D0216",DWord,1,R/W,1000,,,,,,,,,,"CIP tank",
"725LC100TI","DB0097,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 reset t",
"725LC100TD","DB0097,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 derivat",
"725LC100SP","DB0097,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 setpoin",
"725LC100PV","DB0097,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 process",
"725LC100OMIN","DB0097,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 output",
"725LC100OMAX","DB0097,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 output",
"725LC100MAN","DB0097,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 manuel",
"725LC100GAIN","DB0097,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 gain",
"725LC100DB","DB0097,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 dead ba",
"725LC100CV","DB0097,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP For. 725 control",
"725FT100AI","DB0046,D0212",DWord,1,R/W,1000,,,,,,,,,,"Flowtransmitter, CIP frem",
"725FC100TI","DB0096,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 reset ti",
"725FC100TD","DB0096,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 derivati",
"725FC100SP","DB0096,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 setpoint",
"725FC100PV","DB0096,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 process",
"725FC100OMIN","DB0096,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 output m",
"725FC100OMAX","DB0096,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 output m",
"725FC100MAN","DB0096,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 manuel o",
"725FC100GAIN","DB0096,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 gain",
"725FC100DB","DB0096,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 dead ban",
"725FC100CV","DB0096,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP For. 725 control",
"725CT100AI","DB0046,D0208",DWord,1,R/W,1000,,,,,,,,,,"Conductivitets transmitter, CIP frem",
"700TT200AI","DB0046,D0068",DWord,1,R/W,1000,,,,,,,,,,"CIP retur",
"700TT100AI","DB0046,D0064",DWord,1,R/W,1000,,,,,,,,,,"CIP frem",
"700TC100TI","DB0066,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit reset",
"216WT100AI","DB0046,D0084",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 1",
"700TC100TD","DB0066,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit deriv",
"700TC100SP","DB0066,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit setpo",
"305PC400OMAX","DB0110,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation output max",
"700TC100PV","DB0066,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit proce",
"700TC100OMIN","DB0066,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit outpu",
"700TC100OMAX","DB0066,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit outpu",
"700TC100MAN","DB0066,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit manue",
"700TC100GAIN","DB0066,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit gain",
"700TC100DB","DB0066,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit dead",
"700TC100CV","DB0066,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller temperature CIP unit contr",
"FL645_SQL01CNT_IN","DB1010,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PC400OMIN","DB0110,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation output min",
"FL645_SQL02CNT_IN","DB1011,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"279WT100AI","DB0046,D0144",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 16",
"700LT100AI","DB0046,D0080",DWord,1,R/W,1000,,,,,,,,,,"CIP tank",
"700LC100TI","DB0065,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward reset ti",
"700LC100TD","DB0065,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward derivati",
"700LC100SP","DB0065,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward setpoint",
"217WT100AI","DB0046,D0088",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 2",
"SVS670_SQL02CNT_IN","DB1021,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"700LC100PV","DB0065,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward process",
"700LC100OMIN","DB0065,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward output m",
"700LC100OMAX","DB0065,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward output m",
"700LC100MAN","DB0065,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward manuel o",
"700LC100GAIN","DB0065,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward gain",
"700LC100DB","DB0065,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward dead ban",
"700LC100CV","DB0065,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller level CIP Forward control",
"700FT100AI","DB0046,D0076",DWord,1,R/W,1000,,,,,,,,,,"Flow CIP frem",
"700FC100TI","DB0064,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward reset tim",
"700FC100TD","DB0064,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward derivativ",
"700FC100SP","DB0064,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward setpoint",
"700FC100PV","DB0064,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward process v",
"700FC100OMIN","DB0064,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward output mi",
"700FC100OMAX","DB0064,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward output ma",
"700FC100MAN","DB0064,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward manuel ou",
"700FC100GAIN","DB0064,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward gain",
"700FC100DB","DB0064,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward dead band",
"218WT100AI","DB0046,D0092",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 3",
"305PC400PV","DB0110,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation process val",
"700FC100CV","DB0064,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller flow CIP Forward control v",
"SVS670_SQL01CNT_IN","DB1020,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"700CT100AI","DB0046,D0072",DWord,1,R/W,1000,,,,,,,,,,"Conduk. Transmitter CIP frem",
"SVS600_SQL01CNT_IN","DB1006,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"670WT100AI","DB0046,D0196",DWord,1,R/W,1000,,,,,,,,,,"Sovsekar 670",
"305PC400SP","DB0110,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation setpoint val",
"670TT900AI","DB0046,D0192",DWord,1,R/W,1000,,,,,,,,,,"Sterilisering af sterilfilter Sovsekar 6",
"SVS600_SQL02CNT_IN","DB1007,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PC400TD","DB0110,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation derivative tim",
"670TT100AI","DB0046,D0188",DWord,1,R/W,1000,,,,,,,,,,"Sovsekar 670",
"655TT900AI","DB0046,D0052",DWord,1,R/W,1000,,,,,,,,,,"Sterilisering af sterilfilter",
"FL650_SQL01CNT_IN","DB1012,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PC400TI","DB0110,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation reset time",
"600WT100AI","DB0046,D0060",DWord,1,R/W,1000,,,,,,,,,,"Vægt sovs tank",
"FL650_SQL02CNT_IN","DB1013,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"MX325_STEAMTIMECV900","DB0089,D0700",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxCV900 has been open",
"600TT900AI","DB0046,D0048",DWord,1,R/W,1000,,,,,,,,,,"Sterilisering af sterilfilter",
"219WT100AI","DB0046,D0096",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 4",
"MX335_RP_TIMEPASTHOLD","DB0150,D0064",DWord,1,R/W,1000,,,,,,,,,,"Time in pasteurizing hold temperature",
"600TT100AI","DB0046,D0044",DWord,1,R/W,1000,,,,,,,,,,"Sovsekar",
"MX335_RP_TIMEPAST","DB0150,D0060",DWord,1,R/W,1000,,,,,,,,,,"Time in pasteurizing",
"MX315_RP_TIMEPAST","DB0082,D0060",DWord,1,R/W,1000,,,,,,,,,,"Time in pasteurizing",
"MX315_RP_TIMEPASTHOLD","DB0082,D0064",DWord,1,R/W,1000,,,,,,,,,,"Time in pasteurizing hold temperature",
"MX315_SQL01CNT_IN","DB1004,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PT400AI","DB0046,D0236",DWord,1,R/W,1000,,,,,,,,,,"Tryk ventilation",
"MX325_STEAMTIMEAV190","DB0089,D0704",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxAV190 has been open",
"MX315_SQL02CNT_IN","DB1005,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305SC100PIW","DB0079,W0020",Word,1,R/W,1000,,,,,,,,,,"Statusord VLT 305SC100",
"MX315_STEAMTIMEAV190","DB0082,D0704",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxAV190 has been open",
"MX315_STEAMTIMECV900","DB0082,D0700",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxCV900 has been open",
"MX315_STEAMTIMEPAST","DB0082,D0036",DWord,1,R/W,1000,,,,,,,,,,"Tid damp tilsæt unde pasteursering",
"390TT900AI","DB0046,D0040",DWord,1,R/W,1000,,,,,,,,,,"Vandkreds mixer 390",
"390TT100AI","DB0046,D0000",DWord,1,R/W,1000,,,,,,,,,,"Mixer 390",
"390TC901TI","DB0060,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket reset tim",
"390TC901TD","DB0060,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket derivativ",
"390TC901SP","DB0060,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket setpoint",
"220WT100AI","DB0046,D0100",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 5",
"390TC901PV","DB0060,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket process v",
"390TC901OMIN","DB0060,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket output mi",
"390TC901OMAX","DB0060,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket output ma",
"390TC901MAN","DB0060,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket manuel ou",
"390TC901GAIN","DB0060,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket gain",
"390TC901DB","DB0060,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket dead band",
"390TC901CV","DB0060,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 315 jacket control v",
"390TC900TI","DB0063,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 reset time",
"390TC900TD","DB0063,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 derivative time",
"390TC900SP","DB0063,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 setpoint val",
"390TC900PV","DB0063,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 process val",
"390TC900OMIN","DB0063,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 output min",
"390TC900OMAX","DB0063,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 output max",
"390TC900MAN","DB0063,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 manuel out",
"390TC900GAIN","DB0063,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 gain",
"390TC900DB","DB0063,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 dead band",
"390TC900CV","DB0063,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 control val",
"221WT100AI","DB0046,D0104",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 6",
"335TT900AI","DB0046,D0184",DWord,1,R/W,1000,,,,,,,,,,"Vandkreds Mixer 335",
"335TT100AI","DB0046,D0176",DWord,1,R/W,1000,,,,,,,,,,"Produkt temperatur",
"335TC901TI","DB0093,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 reset time",
"335TC901TD","DB0093,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 derivative time",
"335TC901SP","DB0093,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 setpoint val",
"335TC901PV","DB0093,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 process val",
"335TC901OMIN","DB0093,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 output min",
"335TC901OMAX","DB0093,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 output max",
"335TC901MAN","DB0093,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 manuel out",
"335TC901GAIN","DB0093,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 gain",
"335TC901DB","DB0093,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 dead band",
"335TC901CV","DB0093,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 control val",
"335TC900TI","DB0094,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 reset time",
"335TC900TD","DB0094,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 derivative time",
"335TC900SP","DB0094,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 setpoint val",
"335TC900PV","DB0094,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 process val",
"335TC900OMIN","DB0094,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 output min",
"335TC900OMAX","DB0094,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 output max",
"246WT100AI","DB0046,D0108",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 7",
"335TC900MAN","DB0094,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 manuel out",
"335TC900GAIN","DB0094,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 gain",
"335TC900DB","DB0094,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 dead band",
"335TC900CV","DB0094,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 335 control val",
"335PT400AI","DB0046,D0228",DWord,1,R/W,1000,,,,,,,,,,"Tryk ventilation",
"335PC400TI","DB0099,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation reset time",
"335PC400TD","DB0099,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation derivative tim",
"335PC400SP","DB0099,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation setpoint val",
"335PC400PV","DB0099,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation process val",
"335PC400OMIN","DB0099,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation output min",
"335PC400OMAX","DB0099,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation output max",
"335PC400MAN","DB0099,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation manuel out",
"335PC400GAIN","DB0099,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation gain",
"335PC400DB","DB0099,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation dead band",
"247WT100AI","DB0046,D0112",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 8",
"335PC400CV","DB0099,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation control val",
"335FT400AI","DB0046,D0232",DWord,1,R/W,1000,,,,,,,,,,"Luftflow ventilation",
"MEL200_SQL01CNT_IN","DB1000,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"MX325_SQL02CNT_IN","DB1017,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"MEL200_SQL02CNT_IN","DB1001,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305TC900CV","DB0061,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 305 control val",
"325TT900AI","DB0046,D0156",DWord,1,R/W,1000,,,,,,,,,,"Temp vandkreds mixer 325",
"325TT100AI","DB0046,D0160",DWord,1,R/W,1000,,,,,,,,,,"Temperatur mixer 325",
"325TC901TI","DB0090,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket reset tim",
"325TC901TD","DB0090,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket derivativ",
"325TC901SP","DB0090,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket setpoint",
"325TC901PV","DB0090,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket process v",
"325TC901OMIN","DB0090,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket output mi",
"248WT100AI","DB0046,D0116",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 9",
"325TC901OMAX","DB0090,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket output ma",
"325TC901MAN","DB0090,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket manuel ou",
"325TC901GAIN","DB0090,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket gain",
"325TC901DB","DB0090,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket dead band",
"325TC901CV","DB0090,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 jacket control v",
"325TC900TI","DB0091,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 reset time",
"325TC900TD","DB0091,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 derivative time",
"325TC900SP","DB0091,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 setpoint val",
"325TC900PV","DB0091,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 process val",
"325TC900OMIN","DB0091,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 output min",
"325TC900OMAX","DB0091,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 output max",
"325TC900MAN","DB0091,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 manuel out",
"325TC900GAIN","DB0091,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 gain",
"325TC900DB","DB0091,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 dead band",
"249WT100AI","DB0046,D0120",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 10",
"325TC900CV","DB0091,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller mixer 325 control val",
"325PT400AI","DB0046,D0252",DWord,1,R/W,1000,,,,,,,,,,"Tryk ventilation",
"325PC400TI","DB0112,D0024",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation reset time",
"325PC400TD","DB0112,D0028",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation derivative tim",
"325PC400SP","DB0112,D0006",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation setpoint val",
"325PC400PV","DB0112,D0010",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation process val",
"325PC400OMIN","DB0112,D0044",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation output min",
"325PC400OMAX","DB0112,D0040",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation output max",
"325PC400MAN","DB0112,D0016",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation manuel out",
"325PC400GAIN","DB0112,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation gain",
"325PC400DB","DB0112,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation dead band",
